case,split,tau,ssa,phase_profile,phase_model,phase_lobe1_g,phase_lobe2_g,phase_lobe1_weight,phase_first_moment,surface_albedo,lower_boundary,sun_zenith_deg,view_zenith_deg,relative_azimuth_deg,samples,seed,max_scatters,batch_samples,depth_bins,report_forward_flux,holdout_albedo,holdout_geometry,holdout_phase_shape,holdout_absorption,convergence_pair,required_oracle_features,runnable_with_current_oracle
ccf_v2_0058,phase-shape-holdout,0.10000000000000001,0.999,shipping-liquid-dual-hg,mixture-hg,0.84999999999999998,-0.14999999999999999,0.90000000000000002,0.75,0,lambertian,65,0,0,4194304,5999168895323013142,384,65536,32,true,false,false,true,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0059,angular-holdout+phase-shape-holdout,0.10000000000000001,0.999,shipping-liquid-dual-hg,mixture-hg,0.84999999999999998,-0.14999999999999999,0.90000000000000002,0.75,0,lambertian,65,40,90,4194304,5999168895323013142,384,65536,32,true,false,true,true,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0060,phase-shape-holdout,0.10000000000000001,0.999,shipping-liquid-dual-hg,mixture-hg,0.84999999999999998,-0.14999999999999999,0.90000000000000002,0.75,0,lambertian,65,65,180,4194304,5999168895323013142,384,65536,32,true,false,false,true,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0061,albedo-interpolation-holdout+phase-shape-holdout,0.10000000000000001,0.999,shipping-liquid-dual-hg,mixture-hg,0.84999999999999998,-0.14999999999999999,0.90000000000000002,0.75,0.20000000000000001,lambertian,30,0,0,4194304,5999168895323013142,384,65536,32,true,true,false,true,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0062,albedo-interpolation-holdout+angular-holdout+phase-shape-holdout,0.10000000000000001,0.999,shipping-liquid-dual-hg,mixture-hg,0.84999999999999998,-0.14999999999999999,0.90000000000000002,0.75,0.20000000000000001,lambertian,30,40,90,4194304,5999168895323013142,384,65536,32,true,true,true,true,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0063,albedo-interpolation-holdout+phase-shape-holdout,0.10000000000000001,0.999,shipping-liquid-dual-hg,mixture-hg,0.84999999999999998,-0.14999999999999999,0.90000000000000002,0.75,0.20000000000000001,lambertian,30,65,180,4194304,5999168895323013142,384,65536,32,true,true,false,true,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0064,albedo-interpolation-holdout+phase-shape-holdout,0.10000000000000001,0.999,shipping-liquid-dual-hg,mixture-hg,0.84999999999999998,-0.14999999999999999,0.90000000000000002,0.75,0.20000000000000001,lambertian,65,0,0,4194304,5999168895323013142,384,65536,32,true,true,false,true,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0065,albedo-interpolation-holdout+angular-holdout+phase-shape-holdout,0.10000000000000001,0.999,shipping-liquid-dual-hg,mixture-hg,0.84999999999999998,-0.14999999999999999,0.90000000000000002,0.75,0.20000000000000001,lambertian,65,40,90,4194304,5999168895323013142,384,65536,32,true,true,true,true,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0066,albedo-interpolation-holdout+phase-shape-holdout,0.10000000000000001,0.999,shipping-liquid-dual-hg,mixture-hg,0.84999999999999998,-0.14999999999999999,0.90000000000000002,0.75,0.20000000000000001,lambertian,65,65,180,4194304,5999168895323013142,384,65536,32,true,true,false,true,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0067,phase-shape-holdout,0.10000000000000001,0.999,shipping-liquid-dual-hg,mixture-hg,0.84999999999999998,-0.14999999999999999,0.90000000000000002,0.75,0.59999999999999998,lambertian,30,0,0,4194304,5999168895323013142,384,65536,32,true,false,false,true,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
